State,Confirmed,Discharged,Death,Date
FCT_Abuja,36,0,0,01/05/2020
FCT_Abuja,52,0,0,02/05/2020
FCT_Abuja,12,4,0,03/05/2020
FCT_Abuja,19,0,0,04/05/2020
FCT_Abuja,10,0,0,05/05/2020
FCT_Abuja,9,0,1,06/05/2020
FCT_Abuja,0,0,0,07/05/2020
FCT_Abuja,20,0,0,08/05/2020
FCT_Abuja,7,45,4,09/05/2020
FCT_Abuja,13,0,0,10/05/2020
FCT_Abuja,3,0,0,11/05/2020
FCT_Abuja,1,12,1,12/05/2020
FCT_Abuja,10,7,0,13/05/2020
FCT_Abuja,10,7,0,14/05/2020
FCT_Abuja,7,6,0,15/05/2020
FCT_Abuja,11,20,0,16/05/2020
FCT_Abuja,21,0,0,17/05/2020
FCT_Abuja,4,0,2,18/05/2020
FCT_Abuja,5,0,0,19/05/2020
FCT_Abuja,8,27,2,20/05/2020
FCT_Abuja,11,7,3,21/05/2020
FCT_Abuja,1,1,0,22/05/2020
FCT_Abuja,22,0,0,23/05/2020
FCT_Abuja,36,1,0,24/05/2020
FCT_Abuja,14,12,0,25/05/2020
FCT_Abuja,0,0,0,26/05/2020
FCT_Abuja,0,1,0,27/05/2020
FCT_Abuja,16,1,0,28/05/2020
FCT_Abuja,29,4,0,29/05/2020
FCT_Abuja,52,11,3,30/05/2020
FCT_Abuja,44,9,2,31/05/2020
FCT_Abuja,14,18,1,01/06/2020
FCT_Abuja,13,2,0,02/06/2020
FCT_Abuja,76,3,0,03/06/2020
FCT_Abuja,29,10,2,04/06/2020
FCT_Abuja,70,2,0,05/06/2020
FCT_Abuja,50,5,0,06/06/2020
FCT_Abuja,40,43,1,07/06/2020
FCT_Abuja,34,5,0,08/06/2020
FCT_Abuja,26,5,1,09/06/2020
FCT_Abuja,85,5,1,10/06/2020
FCT_Abuja,0,0,0,11/06/2020
FCT_Abuja,65,36,0,12/06/2020
FCT_Abuja,50,44,1,13/06/2020
FCT_Abuja,35,3,0,14/06/2020
FCT_Abuja,17,17,0,15/06/2020
FCT_Abuja,60,6,2,16/06/2020
FCT_Abuja,67,5,0,17/06/2020
FCT_Abuja,60,11,0,18/06/2020
FCT_Abuja,38,67,0,19/06/2020
FCT_Abuja,60,6,0,20/06/2020
FCT_Abuja,18,11,2,21/06/2020
FCT_Abuja,16,4,0,22/06/2020
FCT_Abuja,22,7,0,23/06/2020
FCT_Abuja,17,0,0,24/06/2020
FCT_Abuja,34,17,2,25/06/2020
FCT_Abuja,20,4,0,26/06/2020
FCT_Abuja,60,32,0,27/06/2020
FCT_Abuja,56,8,0,28/06/2020
FCT_Abuja,26,12,0,29/06/2020
FCT_Abuja,52,0,1,30/06/2020
FCT_Abuja,65,18,1,01/07/2020
FCT_Abuja,71,23,2,02/07/2020
FCT_Abuja,60,9,0,03/07/2020
FCT_Abuja,73,7,0,04/07/2020
FCT_Abuja,28,33,0,05/07/2020
FCT_Abuja,37,37,1,06/07/2020
FCT_Abuja,41,28,0,07/07/2020
FCT_Abuja,26,8,0,08/07/2020
FCT_Abuja,17,10,0,09/07/2020
FCT_Abuja,68,24,0,10/07/2020
FCT_Abuja,105,14,1,11/07/2020
FCT_Abuja,38,26,2,12/07/2020
FCT_Abuja,99,20,1,13/07/2020
FCT_Abuja,12,17,0,14/07/2020
FCT_Abuja,51,11,0,15/07/2020
FCT_Abuja,23,19,0,16/07/2020
FCT_Abuja,118,17,0,17/07/2020
FCT_Abuja,78,19,0,18/07/2020
FCT_Abuja,70,7,0,19/07/2020
FCT_Abuja,102,19,0,20/07/2020
FCT_Abuja,82,41,0,21/07/2020
FCT_Abuja,86,34,1,22/07/2020
FCT_Abuja,79,5,0,23/07/2020
FCT_Abuja,61,24,1,24/07/2020
FCT_Abuja,14,16,0,25/07/2020
FCT_Abuja,30,31,0,26/07/2020
FCT_Abuja,44,11,0,27/07/2020
FCT_Abuja,35,13,0,28/07/2020
FCT_Abuja,54,7,1,29/07/2020
FCT_Abuja,96,34,0,30/07/2020
FCT_Abuja,93,4,0,31/07/2020
FCT_Abuja,130,20,0,01/08/2020
FCT_Abuja,39,29,0,02/08/2020
FCT_Abuja,25,17,0,03/08/2020
FCT_Abuja,90,1,2,04/08/2020
FCT_Abuja,76,21,1,05/08/2020
FCT_Abuja,78,21,0,06/08/2020
FCT_Abuja,60,6,0,07/08/2020
FCT_Abuja,75,10,1,08/08/2020
FCT_Abuja,91,6,0,09/08/2020
FCT_Abuja,18,45,0,10/08/2020
FCT_Abuja,40,9,0,11/08/2020
FCT_Abuja,72,6,0,12/08/2020
FCT_Abuja,35,12,0,13/08/2020
FCT_Abuja,33,17,0,14/08/2020
FCT_Abuja,49,5,0,15/08/2020
FCT_Abuja,15,5,0,16/08/2020
FCT_Abuja,1,16,0,17/08/2020
FCT_Abuja,45,8,0,18/08/2020
FCT_Abuja,62,13,0,19/08/2020
FCT_Abuja,44,18,0,20/08/2020
FCT_Abuja,51,11,0,21/08/2020
FCT_Abuja,37,8,0,22/08/2020
FCT_Abuja,25,21,0,23/08/2020
FCT_Abuja,34,1,0,24/08/2020
FCT_Abuja,18,2,2,25/08/2020
FCT_Abuja,33,18,2,26/08/2020
FCT_Abuja,15,4,0,27/08/2020
FCT_Abuja,14,38,0,28/08/2020
FCT_Abuja,41,14,0,29/08/2020
FCT_Abuja,7,7,0,30/08/2020
FCT_Abuja,13,5,0,31/08/2020
FCT_Abuja,33,17,9,01/09/2020
FCT_Abuja,11,10,1,02/09/2020
FCT_Abuja,25,22,0,03/09/2020
FCT_Abuja,35,6,3,04/09/2020
FCT_Abuja,6,19,2,05/09/2020
FCT_Abuja,22,2,2,06/09/2020
FCT_Abuja,9,12,0,07/09/2020
