State,Confirmed,Discharged,Death,Date
Kano,92,0,0,01/05/2020
Kano,2,7,3,02/05/2020
Kano,29,0,0,03/05/2020
Kano,23,0,2,04/05/2020
Kano,32,3,3,05/05/2020
Kano,30,3,2,06/05/2020
Kano,55,13,0,07/05/2020
Kano,65,1,5,08/05/2020
Kano,29,10,0,09/05/2020
Kano,26,18,8,10/05/2020
Kano,64,13,6,11/05/2020
Kano,27,13,1,12/05/2020
Kano,14,5,0,13/05/2020
Kano,46,8,0,14/05/2020
Kano,8,3,0,15/05/2020
Kano,0,3,2,16/05/2020
Kano,64,18,1,17/05/2020
Kano,17,0,0,18/05/2020
Kano,0,8,0,19/05/2020
Kano,5,2,0,20/05/2020
Kano,28,2,0,21/05/2020
Kano,8,10,0,22/05/2020
Kano,0,0,0,23/05/2020
Kano,13,0,0,24/05/2020
Kano,23,1,2,25/05/2020
Kano,4,0,0,26/05/2020
Kano,13,1,3,27/05/2020
Kano,3,4,0,28/05/2020
Kano,3,53,0,29/05/2020
Kano,9,8,2,30/05/2020
Kano,3,40,2,31/05/2020
Kano,4,0,0,01/06/2020
Kano,12,46,0,02/06/2020
Kano,0,32,0,03/06/2020
Kano,10,41,1,04/06/2020
Kano,5,23,0,05/06/2020
Kano,12,33,2,06/06/2020
Kano,2,35,0,07/06/2020
Kano,5,27,1,08/06/2020
Kano,16,20,1,09/06/2020
Kano,5,25,0,10/06/2020
Kano,23,34,0,11/06/2020
Kano,1,21,0,12/06/2020
Kano,42,22,0,13/06/2020
Kano,46,27,0,14/06/2020
Kano,21,0,0,15/06/2020
Kano,0,37,0,16/06/2020
Kano,2,33,0,17/06/2020
Kano,10,10,0,18/06/2020
Kano,12,1,0,19/06/2020
Kano,2,5,0,20/06/2020
Kano,6,0,0,21/06/2020
Kano,0,6,1,22/06/2020
Kano,0,26,0,23/06/2020
Kano,1,30,0,24/06/2020
Kano,0,19,0,25/06/2020
Kano,0,25,0,26/06/2020
Kano,4,17,0,27/06/2020
Kano,5,31,0,28/06/2020
Kano,11,38,0,29/06/2020
Kano,5,27,1,30/06/2020
Kano,41,27,0,01/07/2020
Kano,28,21,0,02/07/2020
Kano,5,26,0,03/07/2020
Kano,2,21,0,04/07/2020
Kano,4,5,0,05/07/2020
Kano,2,6,0,06/07/2020
Kano,3,0,0,07/07/2020
Kano,20,0,0,08/07/2020
Kano,11,1,0,09/07/2020
Kano,1,0,0,10/07/2020
Kano,0,0,0,11/07/2020
Kano,6,0,0,12/07/2020
Kano,5,2,0,13/07/2020
Kano,0,3,0,14/07/2020
Kano,4,0,0,15/07/2020
Kano,13,0,1,16/07/2020
Kano,55,36,0,17/07/2020
Kano,9,29,0,18/07/2020
Kano,5,25,0,19/07/2020
Kano,16,0,0,20/07/2020
Kano,14,0,0,21/07/2020
Kano,17,27,0,22/07/2020
Kano,5,13,0,23/07/2020
Kano,0,25,0,24/07/2020
Kano,3,0,0,25/07/2020
Kano,65,15,0,26/07/2020
Kano,9,30,0,27/07/2020
Kano,37,23,0,28/07/2020
Kano,18,0,0,29/07/2020
Kano,7,0,0,30/07/2020
Kano,6,0,0,31/07/2020
Kano,0,0,0,01/08/2020
Kano,0,0,0,02/08/2020
Kano,0,12,0,03/08/2020
Kano,1,0,0,04/08/2020
Kano,1,5,0,05/08/2020
Kano,9,16,0,06/08/2020
Kano,1,12,1,07/08/2020
Kano,13,0,0,08/08/2020
Kano,4,5,0,09/08/2020
Kano,8,0,0,10/08/2020
Kano,9,5,0,11/08/2020
Kano,1,0,0,12/08/2020
Kano,17,7,0,13/08/2020
Kano,16,14,0,14/08/2020
Kano,1,32,0,15/08/2020
Kano,1,0,0,16/08/2020
Kano,1,7,0,17/08/2020
Kano,0,0,0,18/08/2020
Kano,3,0,0,19/08/2020
Kano,9,0,0,20/08/2020
Kano,0,45,0,21/08/2020
Kano,12,0,0,22/08/2020
Kano,4,45,0,23/08/2020
Kano,3,0,0,24/08/2020
Kano,10,44,0,25/08/2020
Kano,1,0,0,26/08/2020
Kano,0,0,0,27/08/2020
Kano,3,20,0,28/08/2020
Kano,0,10,0,29/08/2020
Kano,0,0,0,30/08/2020
Kano,2,0,0,31/08/2020
Kano,0,44,0,01/09/2020
Kano,0,0,0,02/09/2020
Kano,0,10,0,03/09/2020
Kano,0,10,0,04/09/2020
Kano,0,0,0,05/09/2020
Kano,0,3,0,06/09/2020
Kano,1,0,0,07/09/2020
Kano,0,0,0,08/09/2020
Kano,0,0,0,09/09/2020
Kano,0,22,0,10/09/2020
Kano,0,0,0,11/09/2020
Kano,0,0,0,12/09/2020
Kano,4,0,0,13/09/2020
Kano,0,0,0,14/09/2020
Kano,0,0,0,15/09/2020
Kano,1,27,0,16/09/2020
Kano,0,0,0,17/09/2020
Kano,1,2,0,18/09/2020
Kano,0,0,0,19/09/2020
Kano,0,0,0,20/09/2020
Kano,0,1,0,21/09/2020
Kano,0,0,0,22/09/2020
Kano,0,0,0,23/09/2020
Kano,2,0,0,24/09/2020
Kano,3,0,0,25/09/2020
Kano,0,0,0,26/09/2020
Kano,6,0,1,27/09/2020
Kano,0,0,0,28/09/2020
Kano,0,2,0,29/09/2020
Kano,0,5,0,30/09/2020
Kano,1,0,0,01/10/2020
Kano,0,0,0,02/10/2020
Kano,0,2,0,03/10/2020
Kano,0,0,0,04/10/2020
Kano,0,5,0,05/10/2020
Kano,0,0,0,06/10/2020
Kano,0,0,0,07/10/2020
Kano,2,0,0,08/10/2020
Kano,0,0,0,09/10/2020
Kano,0,0,0,10/10/2020
Kano,0,0,0,11/10/2020
Kano,0,0,0,12/10/2020
Kano,0,0,0,13/10/2020
Kano,0,5,0,14/10/2020
Kano,0,0,0,15/10/2020
Kano,0,1,0,16/10/2020
Kano,1,0,0,17/10/2020
